63,1019,14,7
63,1018,14,7
67,1018,13,7
72,1017,12,7
67,1017,12,6
67,1017,11,5
62,1017,11,4
58,1018,12,4
45,1019,15,3
39,1019,17,3
32,1019,19,2
19,1017,24,-1
19,1016,25,0
21,1015,25,1
21,1015,25,1
37,1017,17,2
39,1017,16,2
44,1017,14,2
44,1017,14,2
58,1016,11,3
58,1016,11,3
58,1016,10,2
62,1017,11,4
58,1018,11,3
44,1019,14,2
37,1019,18,3
31,1019,21,3
27,1018,23,3
19,1017,25,0
19,1016,25,0
17,1016,26,-1
18,1016,25,-1
22,1016,24,1
27,1017,22,2
37,1017,18,3
45,1018,17,5
42,1018,17,4
39,1018,17,3
42,1018,16,3
59,1018,14,6
55,1018,14,5
51,1018,14,4
58,1017,13,5
62,1017,12,5
58,1017,12,4
51,1018,13,3
51,1019,13,3
39,1019,15,1
39,1020,17,3
29,1020,22,3
22,1020,25,2
16,1016,28,0
28,1016,25,5
38,1017,21,6
38,1017,21,6
40,1017,20,6
37,1017,19,4
42,1017,17,4
45,1017,16,4
42,1017,17,4
52,1016,17,7
45,1016,15,3
42,1017,16,3
39,1018,17,3
35,1019,19,3
37,1019,20,5
25,1019,24,3
24,1018,24,2
28,1017,25,5
24,1016,25,3
26,1016,25,4
24,1015,25,3
33,1015,23,6
40,1016,19,5
52,1016,17,7
55,1017,17,8
63,1017,16,9
59,1017,17,9
63,1017,16,9
63,1016,16,9
72,1015,16,11
68,1015,17,11
72,1016,17,12
72,1016,17,12
72,1018,17,12
60,1019,22,14
50,1020,22,11
53,1019,23,13
44,1017,25,12
44,1016,25,12
50,1016,23,12
57,1016,22,13
60,1016,21,13
68,1017,20,14
64,1017,21,14
68,1018,20,14
64,1018,20,13
56,1018,19,10
52,1018,19,9
68,1015,16,10
63,1017,17,10
68,1016,16,10
77,1016,14,10
72,1016,14,9
72,1018,14,9
63,1018,15,8
63,1019,15,8
63,1019,16,9
60,1019,19,11
53,1018,22,12
53,1017,23,13
47,1016,25,13
44,1016,25,12
41,1015,25,11
64,1015,20,13
68,1016,19,13
64,1016,19,12
64,1017,19,12
68,1017,17,11
55,1017,17,8
52,1017,16,6
55,1016,15,6
63,1015,13,6
63,1015,13,6
71,1015,11,6
76,1015,11,7
71,1015,11,6
62,1017,12,5
72,1017,12,7
48,1017,16,5
40,1017,19,5
29,1014,23,4
35,1014,21,5
40,1014,19,5
52,1015,16,6
55,1016,15,6
55,1016,14,5
59,1016,15,7
67,1016,13,7
67,1016,13,7
63,1016,13,6
67,1016,12,6
67,1016,12,6
67,1016,12,6
67,1017,12,6
59,1017,14,6
59,1018,14,6
48,1018,17,6
40,1018,19,5
43,1017,20,7
35,1016,21,5
33,1015,22,5
33,1014,23,6
31,1014,22,4
38,1014,21,6
43,1014,19,6
52,1015,17,7
55,1015,16,7
59,1015,15,7
55,1015,15,6
63,1015,14,7
63,1015,14,7
63,1016,13,6
67,1015,12,6
67,1015,12,6
67,1014,11,5
76,1014,10,6
76,1015,10,6
55,1017,16,7
52,1016,19,9
38,1016,21,6
38,1015,22,7
31,1014,24,6
29,1013,24,5
27,1013,24,4
31,1013,22,4
37,1013,19,4
48,1014,16,5
45,1014,17,5
48,1014,16,5
51,1013,15,5
58,1013,13,5
51,1013,14,4
62,1013,12,5
58,1013,13,5
71,1013,11,6
62,1013,12,5
67,1013,11,5
62,1013,11,4
58,1014,12,4
54,1015,13,4
51,1015,15,5
42,1016,17,4
37,1016,20,5
33,1015,22,5
27,1013,24,4
27,1013,24,4
26,1012,25,4
29,1012,23,4
37,1013,20,5
48,1014,17,6
55,1014,16,7
55,1014,15,6
55,1014,15,6
59,1014,14,6
59,1013,14,6
67,1014,12,6
63,1014,13,6
55,1016,16,7
48,1017,17,6
29,1017,25,6
26,1016,25,4
23,1015,27,4
24,1014,27,5
23,1014,27,4
23,1013,28,5
